accession_number,dataset_url,dataset_name,num_subjects,modalities,dx_status,ages
ds000138,https://openneuro.org/datasets/ds000138/versions/00002,ds000138_R2.0.0,16,MRI - func,,"18-25, 26-34, 35-50"
ds000140,https://openneuro.org/datasets/ds000140/versions/00001,Distinct brain systems mediate the effects of nociceptive input and self-regulation on pain,33,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65"
ds000144,https://openneuro.org/datasets/ds000144/versions/00002,ds000144_R1.0.0,45,"MRI - func, MRI - anat",,
ds000148,https://openneuro.org/datasets/ds000148/versions/1.0.0,ds000148,49,"MRI - func, MRI - anat",,18-25
ds000149,https://openneuro.org/datasets/ds000149/versions/1.0.0,Scene Perception,15,"MRI - func, MRI - anat",,"18-25, 26-34"
ds000157,https://openneuro.org/datasets/ds000157/versions/00001,Block design food and nonfood picture viewing task,30,"MRI - func, MRI - anat",,"18-25, 26-34"
ds000158,https://openneuro.org/datasets/ds000158/versions/1.0.0,The human Voice Areas: spatial organisation and inter-individual variability in temporal and extra-temporal cortices,217,"MRI - anat, MRI - func",,
ds000164,https://openneuro.org/datasets/ds000164/versions/00001,Stroop Task,28,"MRI - func, MRI - anat",,
ds000168,https://openneuro.org/datasets/ds000168/versions/1.0.0,Offline Processing in Associative Learning,35,"MRI - func, MRI - anat",,18-25
ds000170,https://openneuro.org/datasets/ds000170/versions/00001,Learning and memory: motor skill consolidation and intermanual transfer,15,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50"
ds000171,https://openneuro.org/datasets/ds000171/versions/00001,Neural Processing of Emotional Musical and Nonmusical Stimuli in Depression,39,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65"
ds000172,https://openneuro.org/datasets/ds000172/versions/1.0.1,,13,"MRI - func, MRI - anat",,
ds000174,https://openneuro.org/datasets/ds000174/versions/1.0.1,T1-weighted structural MRI study of cannabis users at baseline and 3 years follow up,42,MRI - anat,,
ds000200,https://openneuro.org/datasets/ds000200/versions/00001,Pre-adolescents Exposure to Manganese,14,"MRI - func, MRI - anat",,"11-17, 18-25"
ds000201,https://openneuro.org/datasets/ds000201/versions/1.0.3,ds000201_R1.0.5,86,"MRI - func, MRI - anat, MRI - dwi",,
ds000202,https://openneuro.org/datasets/ds000202/versions/00001,The heterogeneity in retrieved relations between the personality trait 'Harm avoidance' and gray matter volumes due to variations in the VBM and ROI labeling processing settings,95,MRI - anat,,
ds000203,https://openneuro.org/datasets/ds000203/versions/00001,Visual imagery and false memory for pictures,26,"MRI - func, MRI - anat",,
ds000204,https://openneuro.org/datasets/ds000204/versions/00002,ds000204,1,MRI - anat,,
ds000205,https://openneuro.org/datasets/ds000205/versions/00001,Affective Videos,11,"MRI - func, MRI - anat",,
ds000206,https://openneuro.org/datasets/ds000206/versions/1.0.0,ds000206,6,"MRI - dwi, MRI - anat",,
ds000208,https://openneuro.org/datasets/ds000208/versions/1.0.1,ds000208_R1.0.0,76,"MRI - anat, MRI - func",,
ds000210,https://openneuro.org/datasets/ds000210/versions/00002,ds000210_R1.0.1,31,"MRI - func, MRI - anat",,"18-25, 26-34"
ds000212,https://openneuro.org/datasets/ds000212/versions/1.0.0,ds000212,39,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50"
ds000213,https://openneuro.org/datasets/ds000213/versions/00002,ds000213_R1.0.2,26,"MRI - anat, MRI - func",,
ds000214,https://openneuro.org/datasets/ds000214/versions/00001,EUPD Cyberball,36,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65"
ds000216,https://openneuro.org/datasets/ds000216/versions/00001,Multiband Multi-Echo Imaging of Simultaneous Oxygenation and Flow Timeseries for Resting State Connectivity,7,"MRI - func, MRI - anat",Healthy / Control,
ds000217,https://openneuro.org/datasets/ds000217/versions/1.0.0,ds000217_R1.0.1,41,"MRI - func, MRI - anat",,"18-25, 26-34"
ds000218,https://openneuro.org/datasets/ds000218/versions/00002,ds000218,19,"MRI - func, MRI - anat",,"18-25, 26-34"
ds000219,https://openneuro.org/datasets/ds000219/versions/00001,Flavour Pleasantness (Regular Products),21,"MRI - func, MRI - anat",,"18-25, 26-34"
ds000220,https://openneuro.org/datasets/ds000220/versions/1.0.0,Cost Analysis TBI,26,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65"
ds000221,https://openneuro.org/datasets/ds000221/versions/1.0.0,ds000221_R1.0.0,318,"MRI - func, MRI - anat, MRI - dwi",,
ds000222,https://openneuro.org/datasets/ds000222/versions/1.0.1,Sequential Inference VBM,79,MRI - anat,,"18-25, 26-34, 51-65, 66+"
ds000223,https://openneuro.org/datasets/ds000223/versions/00001,Magnitude Effect,19,"MRI - func, MRI - anat",,
ds000224,https://openneuro.org/datasets/ds000224/versions/1.0.4,The Midnight Scan Club (MSC) dataset,10,"MRI - func, MRI - anat",,"18-25, 26-34"
ds000228,https://openneuro.org/datasets/ds000228/versions/1.1.1,MRI data of 3-12 year old children and adults during viewing of a short animated film,155,"MRI - anat, MRI - func",,
ds000229,https://openneuro.org/datasets/ds000229/versions/00001,Integration of sweet taste and metabolism determines carbohydrate reward - study 1,15,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34"
ds000231,https://openneuro.org/datasets/ds000231/versions/1.0.0,ds000231,9,"MRI - func, MRI - anat",,"18-25, 26-34"
ds000232,https://openneuro.org/datasets/ds000232/versions/00001,Adjudicating between face-coding models with individual-face fMRI responses,10,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50"
ds000233,https://openneuro.org/datasets/ds000233/versions/1.0.1,Neural responses to naturalistic clips of behaving animals in two different task contexts,12,"MRI - func, MRI - anat",,"18-25, 26-34"
ds000234,https://openneuro.org/datasets/ds000234/versions/00002,ds000234,5,MRI - anat,,"26-34, 35-50, 51-65"
ds000235,https://openneuro.org/datasets/ds000235/versions/2.0.1,ds000235,4,MRI - anat,,"18-25, 26-34, 51-65"
ds000236,https://openneuro.org/datasets/ds000236/versions/2.0.1,ds000236,18,MRI - anat,,"51-65, 66+"
ds000237,https://openneuro.org/datasets/ds000237/versions/1.0.0,Phonological memory in sign language relies on the visuomotor neural system outside the left hemisphere language network,13,"MRI - func, MRI - anat",,
ds000238,https://openneuro.org/datasets/ds000238/versions/00002,ds000238_R1.0.1,35,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50"
ds000239,https://openneuro.org/datasets/ds000239/versions/00001,Maclaren test-retest brain volume dataset,3,MRI - anat,,26-34
ds000240,https://openneuro.org/datasets/ds000240/versions/2.0.0,ds000240_R1.0.0,63,"MRI - perf, MRI - anat",,
ds000241,https://openneuro.org/datasets/ds000241/versions/00002,ds000241_R1.0.0,12,"MRI - func, MRI - anat",,
ds000243,https://openneuro.org/datasets/ds000243/versions/00001,Washington University 120,120,"MRI - func, MRI - anat",,
ds000244,https://openneuro.org/datasets/ds000244/versions/1.0.0,ds000244_R1.0.1,12,"MRI - func, MRI - dwi, MRI - anat",,"26-34, 35-50"
ds000245,https://openneuro.org/datasets/ds000245/versions/00001,ds000245_R1.0.0,45,"MRI - anat, MRI - func",,
ds000246,https://openneuro.org/datasets/ds000246/versions/1.0.1,MEG-BIDS Brainstorm data sample,1,"MRI - anat, MEG",,18-25
ds000247,https://openneuro.org/datasets/ds000247/versions/1.0.2,OMEGA_RestingState_sample,5,"MRI - anat, MEG",Healthy / Control,"18-25, 26-34, 35-50"
ds000248,https://openneuro.org/datasets/ds000248/versions/1.2.4,ds000248,1,"MRI - anat, MEG",,
ds000249,https://openneuro.org/datasets/ds000249/versions/00002,ds000249_R1.0.0,26,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50"
ds000253,https://openneuro.org/datasets/ds000253/versions/00002,ds000253_R1.0.0,20,"MRI - func, MRI - anat",,
ds000254,https://openneuro.org/datasets/ds000254/versions/1.0.0,ds000254_R1.0.0,13,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50"
ds000255,https://openneuro.org/datasets/ds000255/versions/00002,ds000255_R1.0.0,2,"MRI - func, MRI - anat",,
ds000256,https://openneuro.org/datasets/ds000256/versions/00002,ds000256_R1.0.0,24,"MRI - func, MRI - anat",,"0-10, 11-17"
ds000258,https://openneuro.org/datasets/ds000258/versions/1.0.1,ds000258_R1.0.0,89,"MRI - func, MRI - anat",,
ds001021,https://openneuro.org/datasets/ds001021/versions/1.0.0,NKI-sample,1,"MRI - func, MRI - dwi, MRI - anat",,51-65
ds001037,https://openneuro.org/datasets/ds001037/versions/00001,The brain of Chris,1,MRI - anat,,
ds001105,https://openneuro.org/datasets/ds001105/versions/00001,Social predictive coding,28,"MRI - func, MRI - anat",,
ds001107,https://openneuro.org/datasets/ds001107/versions/00001,ds001107,0,,,
ds001110,https://openneuro.org/datasets/ds001110/versions/00003,Sherlock_Merlin,37,"MRI - func, MRI - anat",,
ds001131,https://openneuro.org/datasets/ds001131/versions/1.0.0,Milky-Vodka,54,"MRI - func, MRI - anat",,"18-25, 26-34"
ds001132,https://openneuro.org/datasets/ds001132/versions/1.0.0,sherlock,16,"MRI - func, MRI - anat",,
ds001145,https://openneuro.org/datasets/ds001145/versions/1.0.0,Twilight Zone Movie Watching Dataset,24,"MRI - func, MRI - anat",,
ds001168,https://openneuro.org/datasets/ds001168/versions/1.0.1,7T resting state test-retest,22,"MRI - func, MRI - anat",,
ds001178,https://openneuro.org/datasets/ds001178/versions/00002,Example MR artifacts,23,"MRI - func, MRI - anat",,
ds001218,https://openneuro.org/datasets/ds001218/versions/00001,State representation pictures,30,"MRI - func, MRI - anat",,
ds001226,https://openneuro.org/datasets/ds001226/versions/5.0.0,BTC_preop,36,"MRI - dwi, MRI - anat, MRI - func",,
ds001228,https://openneuro.org/datasets/ds001228/versions/00002,Decoding intentions of self and others,24,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50"
ds001229,https://openneuro.org/datasets/ds001229/versions/1.0.1,Prospective Remembering,27,"MRI - func, MRI - anat",,"18-25, 26-34"
ds001232,https://openneuro.org/datasets/ds001232/versions/1.0.0,Competition between items in working memory leads to forgetting,21,"MRI - func, MRI - anat",,"18-25, 26-34"
ds001233,https://openneuro.org/datasets/ds001233/versions/00003,singleFingerRSA,18,"MRI - func, MRI - anat",,
ds001235,https://openneuro.org/datasets/ds001235/versions/00001,Human-Object Interaction,12,"MRI - func, MRI - anat",,
ds001241,https://openneuro.org/datasets/ds001241/versions/1.0.1,,24,"MRI - func, MRI - anat",,"18-25, 26-34"
ds001242,https://openneuro.org/datasets/ds001242/versions/1.0.0,Examining effects of arousal on responses to salient and non-salient stimuli in younger and older adults,52,"MRI - func, MRI - dwi, MRI - anat",,
ds001246,https://openneuro.org/datasets/ds001246/versions/1.2.1,Generic Object Decoding,5,"MRI - func, MRI - anat",,
ds001247,https://openneuro.org/datasets/ds001247/versions/00001,sports_betting_study,43,"MRI - func, MRI - anat",,
ds001293,https://openneuro.org/datasets/ds001293/versions/00002,ds113c_R1.0.0,7,MRI - func,,
ds001297,https://openneuro.org/datasets/ds001297/versions/00001,Personally familiar faces,33,"MRI - func, MRI - anat",,"18-25, 26-34"
ds001299,https://openneuro.org/datasets/ds001299/versions/1.0.0,NumberlineMarking,19,"MRI - func, MRI - anat",,
ds001302,https://openneuro.org/datasets/ds001302/versions/1.0.1,Inverse Base Rate,23,"MRI - func, MRI - anat",,
ds001306,https://openneuro.org/datasets/ds001306/versions/1.0.0,negative_template,17,"MRI - func, MRI - anat",,"18-25, 26-34"
ds001338,https://openneuro.org/datasets/ds001338/versions/1.0.0,ParanoiaStory,22,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50"
ds001339,https://openneuro.org/datasets/ds001339/versions/00003,SocialBrain,14,"MRI - func, MRI - anat",,
ds001344,https://openneuro.org/datasets/ds001344/versions/1.0.0,phfMRI_Control_Tasks,15,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50"
ds001345,https://openneuro.org/datasets/ds001345/versions/1.0.0,Audio-Visual Memory in the Context of Multisensory Integration,12,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34"
ds001353,https://openneuro.org/datasets/ds001353/versions/1.0.0,KnowledgeFilteringTest,29,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50"
ds001357,https://openneuro.org/datasets/ds001357/versions/00001,NameFacePriming,18,"MRI - func, MRI - anat",,
ds001365,https://openneuro.org/datasets/ds001365/versions/1.0.0,Indiv_Diffs_ReadingSkill,35,MRI - anat,,0-10
ds001371,https://openneuro.org/datasets/ds001371/versions/1.1.1,Early signs of disrupted rule learning in adolescents at clinical high risk for psychosis,47,"MRI - func, MRI - anat",Clinical High,"11-17, 18-25"
ds001378,https://openneuro.org/datasets/ds001378/versions/00003,SCA2 Diffusion Tensor Imaging,25,"MRI - dwi, MRI - anat",,
ds001379,https://openneuro.org/datasets/ds001379/versions/1.0.0,Loci case study,1,"MRI - func, MRI - anat",,51-65
ds001386,https://openneuro.org/datasets/ds001386/versions/00001,Subject Data,42,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65, 66+"
ds001399,https://openneuro.org/datasets/ds001399/versions/2.0.0,multibandACQtests,6,"MRI - func, MRI - anat",,
ds001408,https://openneuro.org/datasets/ds001408/versions/1.0.3,rsfMRI_single_session_EEG_NF,52,"MRI - anat, MRI - func",,"18-25, 26-34, 35-50"
ds001415,https://openneuro.org/datasets/ds001415/versions/1.0.0,Audio Cartography,21,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65"
ds001417,https://openneuro.org/datasets/ds001417/versions/1.0.0,CAT snacks functional plasticity,36,"MRI - func, MRI - anat",,"18-25, 26-34"
ds001419,https://openneuro.org/datasets/ds001419/versions/1.0.1,thoughtExperiment,1,"MRI - func, MRI - dwi, MRI - anat",,18-25
ds001420,https://openneuro.org/datasets/ds001420/versions/1.2.0,[11C]DASB PET Cimbi database example,2,"MRI - anat, PET",,18-25
ds001421,https://openneuro.org/datasets/ds001421/versions/1.4.1,[11C]SB207145 PET Cimbi database example,1,"MRI - anat, PET",,18-25
ds001430,https://openneuro.org/datasets/ds001430/versions/1.0.2,Neural Overlap in Item Representations Across Episodes Impairs Context Memory,31,"MRI - func, MRI - anat",,"18-25, 26-34"
ds001439,https://openneuro.org/datasets/ds001439/versions/1.2.0,A role for the medial temporal lobe subsystem in guiding prosociality: the effect of episodic processes on willingness to help others,18,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50"
ds001450,https://openneuro.org/datasets/ds001450/versions/1.0.0,bids_results1,2,bold,,
ds001454,https://openneuro.org/datasets/ds001454/versions/1.3.1,Human hippocampal replay during rest prioritizes weakly-learned information and predicts memory performance,24,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50"
ds001461,https://openneuro.org/datasets/ds001461/versions/1.0.3,rsfMRI_comrobidity-SmokingandSchizophrenia,81,MRI - func,,"11-17, 18-25, 26-34, 35-50, 51-65"
ds001486,https://openneuro.org/datasets/ds001486/versions/1.3.1,Brain Correlates of Math Development,132,"MRI - func, MRI - anat",,
ds001491,https://openneuro.org/datasets/ds001491/versions/1.0.0,Valence processing differs across stimulus modalities (Multi-echo),20,"MRI - func, MRI - anat",,"18-25, 26-34"
ds001497,https://openneuro.org/datasets/ds001497/versions/1.0.2,"Long-term Memory (LTM) for famous Faces, Places, and common Objects",10,"MRI - func, MRI - anat",,
ds001499,https://openneuro.org/datasets/ds001499/versions/1.3.1,5000Scenes,4,"MRI - func, MRI - dwi, MRI - anat",,"18-25, 26-34"
ds001506,https://openneuro.org/datasets/ds001506/versions/1.3.1,Deep Image Reconstruction,3,"MRI - func, MRI - anat",,
ds001510,https://openneuro.org/datasets/ds001510/versions/2.0.3,Schematic narrative perception and recall (intact),31,"MRI - func, MRI - anat",,
ds001511,https://openneuro.org/datasets/ds001511/versions/1.0.5,Schematic narrative perception and recall (scrambled),13,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50"
ds001517,https://openneuro.org/datasets/ds001517/versions/1.0.3,Associative Prediction of Visual Shape in the Hippocampus,24,"MRI - func, MRI - anat",,"18-25, 26-34"
ds001521,https://openneuro.org/datasets/ds001521/versions/1.0.2,Lingering representations of stimuli influence recall organization,41,"MRI - func, MRI - anat",,
ds001525,https://openneuro.org/datasets/ds001525/versions/1.1.1,,17,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50"
ds001529,https://openneuro.org/datasets/ds001529/versions/1.0.2,Mouse_rest_anesthesia,38,MRI - func,,
ds001534,https://openneuro.org/datasets/ds001534/versions/1.1.0,,42,"MRI - func, MRI - anat",,18-25
ds001541,https://openneuro.org/datasets/ds001541/versions/1.1.3,Mouse_opto_DRN,16,"MRI - func, MRI - anat",,
ds001545,https://openneuro.org/datasets/ds001545/versions/1.1.1,Learning Naturalistic Temporal Structure in the Posterior Medial Network,30,"MRI - func, MRI - anat",,"18-25, 26-34"
ds001547,https://openneuro.org/datasets/ds001547/versions/1.1.0,Layer VASO in visual system,5,"MRI - func, MRI - anat",,"18-25, 26-34"
ds001551,https://openneuro.org/datasets/ds001551/versions/1.0.0,,34,"MRI - func, MRI - anat",,
ds001553,https://openneuro.org/datasets/ds001553/versions/1.0.1,100 runs at 3T,3,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34"
ds001554,https://openneuro.org/datasets/ds001554/versions/1.0.0,Neural pattern change during encoding of a narrative predicts retrospective duration estimates,23,"MRI - func, MRI - anat",,
ds001555,https://openneuro.org/datasets/ds001555/versions/1.0.1,Large Single-Subject Functional MRI Datasets at 7T,3,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34"
ds001563,https://openneuro.org/datasets/ds001563/versions/1.0.1,WIN-open-science-example,1,MRI - anat,Healthy / Control,
ds001566,https://openneuro.org/datasets/ds001566/versions/1.0.1,test,1,"MRI - func, MRI - anat",,
ds001576,https://openneuro.org/datasets/ds001576/versions/1.0.0,Refresh my memory: Episodic memory reinstatements intrude on working memory maintenance,36,"MRI - func, MRI - anat",,
ds001590,https://openneuro.org/datasets/ds001590/versions/1.0.1,Feature Discrimination,32,"MRI - func, MRI - dwi, MRI - anat",,
ds001591,https://openneuro.org/datasets/ds001591/versions/1.3.0,Mouse_rest_KCLtraining,2,"MRI - func, MRI - anat",,
ds001595,https://openneuro.org/datasets/ds001595/versions/1.0.0,Test dataset for XCP software,1,"MRI - dwi, MRI - anat, MRI - func",,
ds001597,https://openneuro.org/datasets/ds001597/versions/1.0.0,multiFingerRSA,20,"MRI - func, MRI - anat",,
ds001600,https://openneuro.org/datasets/ds001600/versions/1.0.0,Example Fieldmaps,1,"MRI - func, MRI - anat",,
ds001607,https://openneuro.org/datasets/ds001607/versions/1.0.1,Reinstated episodic context guides sampling-based decisions for reward,32,"MRI - func, MRI - anat",,
ds001608,https://openneuro.org/datasets/ds001608/versions/1.0.1,Prestimulus Exp2,21,"MRI - func, MRI - anat",,"18-25, 26-34"
ds001612,https://openneuro.org/datasets/ds001612/versions/1.0.2,Offline replay supports planning: fMRI evidence from reward revaluation,24,"MRI - func, MRI - anat",,
ds001614,https://openneuro.org/datasets/ds001614/versions/1.1.0,Perceptual decisions result from the continuous accumulation of memory and sensory evidence,31,"T1w, bold, events",,
ds001618,https://openneuro.org/datasets/ds001618/versions/1.0.1,"Shared and differential default-mode related patterns of activity in an autobiographical, a self-referential and an attentional task",36,MRI - func,,"18-25, 26-34, 35-50, 51-65"
ds001621,https://openneuro.org/datasets/ds001621/versions/1.1.0,Neural representations of events arise from temporal community structure,20,"MRI - func, MRI - anat",,
ds001634,https://openneuro.org/datasets/ds001634/versions/1.0.1,Visual working memory: Study one Task fMRI and Behavioural response,19,"MRI - func, MRI - anat",,
ds001635,https://openneuro.org/datasets/ds001635/versions/1.0.1,Visual working memory: Study two Task fMRI and Behavioural response,16,"MRI - func, MRI - anat",,
ds001652,https://openneuro.org/datasets/ds001652/versions/2.0.0,Ironia VEV,8,"MRI - func, MRI - anat",,"18-25, 26-34"
ds001653,https://openneuro.org/datasets/ds001653/versions/1.0.2,Mouse_rest_awake,29,"MRI - func, MRI - anat",,
ds001705,https://openneuro.org/datasets/ds001705/versions/1.0.1,NRM2018 PET Grand Challenge dataset,5,"MRI - anat, PET",,"26-34, 35-50, 51-65"
ds001715,https://openneuro.org/datasets/ds001715/versions/1.0.0,Dissociable neural mechanisms track evidence accumulation for selection of attention versus action,34,"MRI - func, MRI - anat",,
ds001720,https://openneuro.org/datasets/ds001720/versions/1.0.2,Mouse_rest_multicentre,255,MRI - func,,
ds001722,https://openneuro.org/datasets/ds001722/versions/1.1.0,A role for the medial temporal lobe subsystem in guiding prosociality: the effect of episodic processes on willingness to help others (Experiment 2),19,"MRI - func, MRI - anat",,
ds001725,https://openneuro.org/datasets/ds001725/versions/1.1.0,Mouse_rest_psilocybin,40,"MRI - func, MRI - anat",,
ds001728,https://openneuro.org/datasets/ds001728/versions/1.1.0,Test-GEIER,1,"MRI - anat, MRI - func",,
ds001734,https://openneuro.org/datasets/ds001734/versions/1.0.5,NARPS,108,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50"
ds001740,https://openneuro.org/datasets/ds001740/versions/2.2.0,Convers,25,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 66+"
ds001743,https://openneuro.org/datasets/ds001743/versions/1.0.1,Unilateral Glaucoma 3T dMRI,12,"MRI - dwi, MRI - anat",,"18-25, 26-34, 51-65, 66+"
ds001745,https://openneuro.org/datasets/ds001745/versions/1.1.0,A neural signature of contextually mediated intentional forgetting,24,"MRI - func, MRI - anat",,
ds001747,https://openneuro.org/datasets/ds001747/versions/1.1.0,Exploring the Resting State Neural Activity of Monolinguals and Late and Early Bilinguals,92,"MRI - anat, MRI - func",,"18-25, 26-34"
ds001748,https://openneuro.org/datasets/ds001748/versions/1.0.4,Differentiation of functional networks during long-term memory retrieval in children and adolescents,62,"MRI - func, MRI - anat",,"0-10, 11-17, 18-25, 26-34"
ds001751,https://openneuro.org/datasets/ds001751/versions/1.0.2,Context-dependent cognitive control | Flanker task,20,"MRI - func, MRI - anat",,
ds001761,https://openneuro.org/datasets/ds001761/versions/2.0.1,VanRullen-Reddy-DeepFaceReconstruction Dataset,4,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50"
ds001762,https://openneuro.org/datasets/ds001762/versions/1.0.1,Dorsal anterior cingulate and ventromedial prefrontal cortex have inverse roles in both foraging and economic choice,31,"MRI - func, MRI - anat",,
ds001769,https://openneuro.org/datasets/ds001769/versions/1.3.0,studyforrest_movie_denoised,1,MRI - func,,
ds001771,https://openneuro.org/datasets/ds001771/versions/1.0.2,InterTVA. A multimodal MRI dataset for the study of inter-individual differences in voice perception and identification.,40,"MRI - func, MRI - dwi, MRI - anat",,"18-25, 26-34, 35-50"
ds001775,https://openneuro.org/datasets/ds001775/versions/1.0.1,Neural Differentiation Tracks Improved Recall of Competing Memories Following Interleaved Study and Retrieval Practice,24,"MRI - func, MRI - anat",,
ds001780,https://openneuro.org/datasets/ds001780/versions/1.0.0,SC MRI dataset,1,MRI - anat,,
